candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K5,2,2,0,0,4,10,15,-6.43650105039098,-6.990134268384061,884,883,1,True,14,10.927302719129392,10,0.36320980378331236,True
fourier_K2,1,2,0,0,3,4,8,-6.310100841957407,-6.474860567357865,884,883,1,True,14,13.336142220330759,11,0.27192417207648195,True
fourier_K6,2,2,2,1,7,12,20,-6.17247978782617,-7.1469577460628315,884,883,1,False,14,10.489032122833441,7,0.16251212949349794,True
fourier_K3,0,1,0,0,1,6,8,-6.05887153038444,-6.223631255784898,884,883,1,True,14,21.21724696723822,13,0.06874138619454284,True
fourier_K6,1,2,1,1,5,12,18,-5.944644917491708,-6.736311584158372,884,883,1,False,14,11.280741991110963,9,0.2569553162181969,True
fourier_K6,2,2,1,2,7,12,20,-5.523205369266648,-6.49768332750331,884,883,1,False,14,8.374599455714858,7,0.3007233516137959,True
fourier_K3,0,1,1,0,2,6,9,-5.111681690291309,-5.317867257301618,884,883,1,True,14,18.50762305139987,12,0.10112414851894239,True
fourier_K5,2,2,2,0,6,10,17,-5.102590274287095,-5.810104725154147,884,883,1,False,14,8.040164247623675,8,0.4295566212046261,True
fourier_K3,0,1,0,1,2,6,9,-5.042637118386374,-5.248822685396682,884,883,1,True,14,18.696787292853944,12,0.0961133411926331,True
fourier_K5,1,2,1,1,5,10,16,-4.993854162879039,-5.62202968250952,884,883,1,False,14,12.032120430768483,9,0.21150456151946398,True
fourier_K5,2,2,0,2,6,10,17,-4.988391175617409,-5.6959056264844605,884,883,1,True,14,8.04267721758493,8,0.4293124232110719,True
fourier_K4,0,1,0,0,1,8,10,-4.72224945395665,-4.9745430319383,884,883,1,True,14,21.318966983388652,13,0.06685470519843043,True
fourier_K6,2,3,1,1,7,12,20,-4.564167439324734,-5.538645397561396,884,883,1,False,14,7.845966781544592,7,0.34637229615402504,True
fourier_K2,0,1,0,0,1,4,6,-3.744653366353994,-3.8405437773128988,884,883,1,True,14,21.23050604529947,13,0.06849282763430502,True
fourier_K4,0,1,1,0,2,8,11,-3.7064292630132094,-4.009529148202645,884,883,1,True,14,18.72694296920128,12,0.0953346522338709,True
fourier_K4,0,1,0,1,2,8,11,-3.6441950673850165,-3.9472949525744525,884,883,1,True,14,18.898342828764097,12,0.0910114410312054,True
fourier_K5,2,2,2,1,7,10,18,-3.5268954435975886,-4.318562110264253,884,883,1,False,14,8.050717547112294,7,0.3281429443428464,True
fourier_K5,2,2,1,2,7,10,18,-3.5237157538280073,-4.315382420494672,884,883,1,False,14,7.894202706239058,7,0.3420154678087984,True
fourier_K2,0,1,1,0,2,4,7,-2.9718801606027974,-3.0998801606027975,884,883,1,True,14,18.236353130352168,12,0.10870022009833748,True
fourier_K2,0,1,0,1,2,4,7,-2.8813198673721914,-3.0093198673721915,884,883,1,True,14,18.468256124100385,12,0.10219470321300192,True
fourier_K6,0,1,0,1,2,12,15,-2.7778390430847892,-3.33147226107787,884,883,1,True,14,19.550679134183294,12,0.0760774411454083,True
fourier_K5,0,1,0,1,2,10,13,-1.797569480361151,-2.2164417473346845,884,883,1,True,14,19.147424780569096,12,0.08503223236057192,True
monthly,3,2,1,1,7,12,20,3.002077102292823,2.027599144056161,884,883,1,False,14,2.8314525003996702,7,0.9001441393369113,True
monthly,4,2,1,1,8,12,21,4.847936102750403,3.774765371043088,884,883,1,False,14,2.3617606496264747,6,0.8836067247342053,True
monthly,3,3,1,1,8,12,21,4.986705063484841,3.9135343317775266,884,883,1,False,14,2.5187731604471115,6,0.8663607616351641,True
monthly,3,2,2,1,8,12,21,6.282911605855581,5.209740874148267,884,883,1,False,14,3.4553921537850742,6,0.7498948087561546,True
monthly,3,2,1,2,8,12,21,6.527807823994074,5.4546370922867595,884,883,1,False,14,3.4605836157894014,6,0.7492062769215122,True
monthly,4,3,1,1,9,12,22,7.333532350972995,6.156788164926482,884,883,1,False,14,2.441115081834387,5,0.785335959220737,True
