candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K6,1,1,1,0,3,12,16,-9.549346518540453,-10.177522038170935,884,883,1,True,14,11.633487373013224,11,0.3918134416392373,True
fourier_K6,1,1,0,1,3,12,16,-9.484630435384297,-10.112805955014778,884,883,1,True,14,11.712640950224777,11,0.3856260900214222,True
fourier_K3,1,2,0,0,3,6,10,-9.483298791887009,-9.735592369868659,884,883,1,True,14,12.690360057205028,11,0.3140440975242198,True
fourier_K6,1,3,0,0,4,12,17,-9.469181030627091,-10.176695481494143,884,883,1,True,14,9.342170593168783,10,0.4999672379242377,True
fourier_K4,1,1,1,0,3,8,12,-9.298495166716318,-9.65711585637149,884,883,1,True,14,11.546534957394679,11,0.39867456820980224,True
fourier_K4,1,1,0,1,3,8,12,-9.221986984633158,-9.58060767428833,884,883,1,True,14,11.632257051630678,11,0.3919100560771662,True
fourier_K5,0,2,0,0,2,10,13,-9.175000910302163,-9.593873177275697,884,883,1,True,14,12.519047633701756,12,0.4049442958266185,True
fourier_K6,2,1,0,0,3,12,16,-9.163669695972722,-9.791845215603203,884,883,1,True,14,12.075666220765145,11,0.35798260161758005,True
fourier_K4,2,1,0,0,3,8,12,-9.112918652222266,-9.471539341877438,884,883,1,True,14,12.083197238156318,11,0.3574221657956022,True
fourier_K4,1,3,0,0,4,8,13,-9.062144894609514,-9.481017161583047,884,883,1,True,14,9.436737433962827,10,0.4912166238996938,True
fourier_K5,1,1,0,0,2,10,13,-8.789545568871855,-9.208417835845388,884,883,1,True,14,12.85566483084305,12,0.3796183514804467,True
fourier_K6,0,3,0,0,3,12,16,-8.777899265443814,-9.406074785074296,884,883,1,True,14,12.46072847476179,11,0.3300259759063468,True
fourier_K6,1,2,0,0,3,12,16,-8.771661239288647,-9.399836758919129,884,883,1,True,14,12.447743496828062,11,0.33094524650157553,True
fourier_K4,0,3,0,0,3,8,12,-8.551424115285887,-8.910044804941059,884,883,1,True,14,12.536986491391426,11,0.3246607650068016,True
fourier_K4,1,2,0,0,3,8,12,-8.498945548950555,-8.857566238605727,884,883,1,True,14,12.49976693629118,11,0.3272722306709834,True
fourier_K5,0,2,1,0,3,10,14,-8.226071386838782,-8.709942354580718,884,883,1,True,14,11.474284039597439,11,0.40442597864425534,True
fourier_K2,0,2,0,0,2,4,7,-8.223447630787017,-8.351447630787018,884,883,1,True,14,13.310249069050789,12,0.34689955231030173,True
fourier_K5,0,2,0,1,3,10,14,-8.162113851302479,-8.645984819044415,884,883,1,True,14,11.546265332093812,11,0.39869594683059245,True
fourier_K5,1,1,1,0,3,10,14,-7.946253472078901,-8.430124439820837,884,883,1,True,14,11.667826559907107,11,0.389122299187061,True
fourier_K5,1,1,0,1,3,10,14,-7.876013532172649,-8.359884499914585,884,883,1,True,14,11.744429755885236,11,0.3831570391319538,True
fourier_K5,1,3,0,0,4,10,15,-7.766344162822641,-8.319977380815722,884,883,1,True,14,9.462510909678397,10,0.4888424658336109,True
fourier_K2,1,1,0,0,2,4,7,-7.724037007881588,-7.852037007881588,884,883,1,True,14,13.759465007544547,12,0.31633148305244624,True
fourier_K5,2,1,0,0,3,10,14,-7.614879513492198,-8.098750481234134,884,883,1,True,14,12.122260847781698,11,0.35452381524858834,True
fourier_K2,0,2,1,0,3,4,8,-7.508142191967082,-7.67290191736754,884,883,1,True,14,11.834729884934063,11,0.37619347373471607,True
fourier_K2,0,2,0,1,3,4,8,-7.413151653520437,-7.577911378920895,884,883,1,True,14,11.95533758702083,11,0.3670097117156398,True
fourier_K2,2,1,0,0,3,4,8,-7.359795790872923,-7.524555516273381,884,883,1,True,14,12.755414510513036,11,0.30961157973795084,True
fourier_K1,0,1,0,0,1,2,4,-7.352377354993953,-7.397935441554317,884,883,1,True,14,21.265564753655024,13,0.06783942099899878,True
fourier_K5,0,3,0,0,3,10,14,-7.1471851617409285,-7.6310561294828645,884,883,1,True,14,12.549296278576278,11,0.3238000712295854,True
fourier_K5,1,2,0,0,3,10,14,-7.125753842637309,-7.609624810379245,884,883,1,True,14,12.531654361272171,11,0.3250340490808575,True
fourier_K2,1,1,1,0,3,4,8,-7.082395815899744,-7.247155541300202,884,883,1,True,14,12.103867981097185,11,0.3558866782347716,True
fourier_K2,1,1,0,1,3,4,8,-6.9824536876205165,-7.147213413020975,884,883,1,True,14,12.232732480950109,11,0.3464062203665325,True
fourier_K1,0,1,1,0,2,2,5,-6.596513607423342,-6.664928658734631,884,883,1,True,14,18.24889584554324,12,0.10833953229170669,True
fourier_K2,1,3,0,0,4,4,9,-6.588215738662598,-6.794401305672906,884,883,1,True,14,10.371558855353086,10,0.4085218603869188,True
fourier_K2,0,3,0,0,3,4,8,-6.548511887407578,-6.713271612808036,884,883,1,True,14,13.395791726882997,11,0.2682453898136887,True
fourier_K1,0,1,0,1,2,2,5,-6.504966936804886,-6.573381988116175,884,883,1,True,14,18.48508819947222,12,0.10173578317051503,True
