candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K4,1,1,1,0,3,8,12,6014.389116309262,6014.030495619607,884,883,1,False,14,5.7169044244510125,11,0.8915697174050886,True
fourier_K2,0,2,2,1,5,4,10,6014.5128440639055,6014.260550485924,884,883,1,True,14,5.338034446476153,9,0.8039017991379191,True
fourier_K6,1,2,1,2,6,12,19,6014.69129785254,6013.810648953351,884,883,1,False,14,14.596937314014177,8,0.0674731491947027,True
fourier_K3,2,2,0,1,5,6,12,6014.724507155718,6014.365886466063,884,883,1,False,14,5.06943267115411,9,0.8282141026084661,True
fourier_K4,0,2,0,1,3,8,12,6014.78658429484,6014.427963605185,884,883,1,False,14,5.627350738205898,11,0.8970364020164405,True
fourier_K3,2,2,1,0,5,6,12,6014.801137396503,6014.4425167068475,884,883,1,False,14,5.113900569440704,9,0.8242683277740137,True
fourier_K4,0,2,1,0,3,8,12,6014.802532802391,6014.443912112736,884,883,1,True,14,5.636717627298538,11,0.8964713523310519,True
fourier_K6,1,2,2,0,5,12,18,6014.806336441837,6014.01466977517,884,883,1,False,14,13.383177745596736,9,0.1460204537859886,True
fourier_K6,1,2,0,2,5,12,18,6014.92712318937,6014.135456522703,884,883,1,False,14,13.313693357028257,9,0.14891807472721494,True
fourier_K5,1,2,2,0,5,10,16,6014.984206431458,6014.3560309118275,884,883,1,False,14,14.124773158035739,9,0.1179555153893961,True
fourier_K6,1,1,1,1,4,12,17,6015.386637852597,6014.67912340173,884,883,1,False,14,6.25082189207252,10,0.7937683976509584,True
fourier_K3,1,2,0,0,3,6,10,6015.4304471984215,6015.17815362044,884,883,1,False,14,8.437411457164163,11,0.6736676518005277,True
fourier_K2,2,2,0,2,6,4,11,6015.54063742584,6015.237537540651,884,883,1,False,14,4.876514517324816,8,0.7706892553247046,True
fourier_K2,2,2,1,1,6,4,11,6015.551621715892,6015.248521830703,884,883,1,False,14,4.803703373413199,8,0.7783357928060106,True
fourier_K5,1,1,1,0,3,10,14,6015.5928307618005,6015.108959794059,884,883,1,False,14,5.973940541364326,11,0.8750973418180289,True
fourier_K3,1,1,1,2,5,6,12,6015.619364264208,6015.260743574553,884,883,1,False,14,5.58114475610262,9,0.780996022052224,True
fourier_K3,1,2,1,1,5,6,12,6015.621355509518,6015.262734819863,884,883,1,False,14,5.552360305297367,9,0.7837482159003943,True
fourier_K3,1,2,0,2,5,6,12,6015.631047312404,6015.272426622749,884,883,1,False,14,5.573097912571368,9,0.7817664375772508,True
fourier_K2,2,2,0,0,4,4,9,6015.9526102321315,6015.746424665122,884,883,1,False,14,7.842720376087317,10,0.6441965474863514,True
fourier_K3,0,2,1,2,5,6,12,6015.956371369981,6015.597750680326,884,883,1,True,14,5.5345322359461235,9,0.7854476718482291,True
